id,warehouse,mode,status,order_id
2271,A,Ship,Pending,8052
2272,B,Ship,In Transit,11268
2273,C,Ship,Pending,4231
2274,F,Ship,In Transit,17913
2275,D,Ship,In Transit,8340
2276,F,Ship,Delivered,14962
2277,A,Ship,In Transit,7549
2278,B,Ship,Pending,7992
2279,C,Ship,In Transit,8423
2280,F,Ship,Returned,8531
2281,D,Ship,Delivered,545
2282,F,Ship,In Transit,5321
2283,A,Ship,Returned,9777
2284,B,Ship,In Transit,6006
2285,C,Ship,Delivered,15872
2286,F,Ship,In Transit,4288
2287,D,Ship,Returned,17239
2288,F,Ship,Pending,3255
2289,A,Ship,Returned,7880
2290,B,Ship,Delivered,13135
2291,C,Ship,In Transit,14369
2292,F,Ship,In Transit,16012
2293,D,Ship,In Transit,19253
2294,F,Ship,Returned,10157
2295,A,Ship,In Transit,11924
2296,B,Ship,Returned,8474
2297,C,Ship,Pending,4651
2298,F,Ship,Pending,12543
2299,D,Ship,Returned,10566
2300,F,Ship,Pending,14065
2301,A,Ship,In Transit,2346
2302,B,Ship,Pending,11579
2303,C,Road,In Transit,2218
2304,F,Road,Delivered,19135
2305,D,Road,Returned,5512
2306,F,Road,Delivered,5789
2307,A,Road,Delivered,13000
2308,B,Road,Returned,1031
2309,C,Road,In Transit,7863
2310,F,Road,In Transit,7051
2311,D,Road,In Transit,18895
2312,F,Road,In Transit,14312
2313,A,Road,In Transit,8002
2314,B,Road,Returned,15574
2315,C,Road,Returned,9511
2316,F,Road,Delivered,16982
2317,D,Road,In Transit,15198
2318,F,Road,Pending,8814
2319,A,Road,Delivered,11255
2320,B,Road,Pending,2066
2321,C,Road,Delivered,87
2322,F,Road,Returned,4617
2323,D,Road,Delivered,3818
2324,F,Road,Returned,7300
2325,A,Flight,Pending,18678
2326,B,Flight,Returned,16169
2327,C,Flight,Pending,10758
2328,F,Flight,Pending,14805
2329,D,Flight,Returned,7996
2330,F,Flight,Pending,3516
2331,A,Flight,In Transit,14802
2332,B,Flight,Returned,3676
2333,C,Flight,Returned,7309
2334,F,Flight,Delivered,17621
2335,D,Flight,Delivered,5211
2336,F,Flight,Returned,1790
2337,A,Flight,Returned,2666
2338,B,Flight,Delivered,7494
2339,C,Flight,Returned,16287
2340,F,Flight,Pending,7990
2341,D,Flight,Returned,2950
2342,F,Flight,Pending,1431
2343,A,Flight,Delivered,12310
2344,B,Flight,Pending,9987
2345,C,Flight,Delivered,8288
2346,F,Flight,Delivered,17963
2347,D,Ship,In Transit,2249
2348,F,Ship,In Transit,5313
2349,A,Ship,In Transit,6296
2350,B,Ship,Delivered,19046
2351,C,Ship,In Transit,4295
2352,F,Ship,Pending,10985
2353,D,Ship,Delivered,9392
2354,F,Ship,Delivered,17425
2355,A,Ship,Pending,10583
2356,B,Ship,In Transit,13575
2357,C,Ship,Returned,6000
2358,F,Ship,Delivered,11137
2359,D,Ship,Pending,10233
2360,F,Ship,Pending,316
2361,A,Ship,Returned,654
2362,B,Ship,Pending,16558
2363,C,Ship,Pending,7384
2364,F,Ship,In Transit,4762
2365,D,Ship,Pending,224
2366,F,Ship,In Transit,2082
2367,A,Ship,Pending,10806
2368,B,Ship,In Transit,11845
2369,C,Ship,Delivered,10242
2370,F,Ship,Returned,1464
2371,D,Ship,Returned,1865
2372,F,Ship,In Transit,3391
2373,A,Ship,Returned,13777
2374,B,Ship,Delivered,11379
2375,C,Ship,Delivered,5353
2376,F,Ship,Delivered,13039
2377,D,Ship,Pending,5352
2378,F,Ship,Delivered,4754
2379,A,Ship,Delivered,4909
2380,B,Ship,Delivered,8516
2381,C,Ship,Returned,16685
2382,F,Ship,Delivered,12528
2383,D,Ship,Returned,11555
2384,F,Ship,Pending,4633
2385,A,Ship,Returned,7077
2386,B,Ship,Returned,19000
2387,C,Ship,In Transit,19468
2388,F,Ship,Returned,2742
2389,D,Ship,In Transit,19043
2390,F,Ship,In Transit,4116
2391,A,Ship,In Transit,19543
2392,B,Ship,In Transit,8333
2393,C,Ship,Returned,16173
2394,F,Ship,Pending,9537
2395,D,Ship,Returned,4129
2396,F,Ship,Delivered,12904
2397,A,Ship,Pending,9972
2398,B,Ship,Delivered,2292
2399,C,Ship,Pending,5197
2400,F,Ship,In Transit,12144
2401,D,Ship,Delivered,11900
2402,F,Ship,Returned,10659
2403,A,Ship,Pending,5140
2404,B,Ship,Returned,2934
2405,C,Ship,Returned,6983
2406,F,Ship,Delivered,2487
2407,D,Ship,Delivered,15604
2408,F,Ship,Returned,3709
2409,A,Ship,In Transit,8099
2410,B,Ship,In Transit,4050
2411,C,Ship,In Transit,17734
2412,F,Ship,In Transit,6387
2413,D,Ship,Delivered,14050
2414,F,Ship,In Transit,12376
2415,A,Ship,In Transit,16309
2416,B,Ship,Delivered,2269
2417,C,Ship,Returned,5194
2418,F,Ship,Returned,5897
2419,D,Ship,In Transit,17608
2420,F,Ship,Pending,17864
2421,A,Ship,Returned,19116
2422,B,Ship,Returned,6429
2423,C,Ship,Returned,19967
2424,F,Ship,Returned,4059
2425,D,Ship,Pending,3716
2426,F,Ship,Pending,4174
2427,A,Ship,Pending,13366
2428,B,Ship,Delivered,1094
2429,C,Ship,Delivered,12353
2430,F,Ship,Returned,4992
2431,D,Ship,Delivered,6441
2432,F,Ship,Pending,5571
2433,A,Ship,Delivered,16050
2434,B,Ship,Pending,19579
2435,C,Ship,Delivered,18630
2436,F,Ship,Pending,14369
2437,D,Ship,In Transit,2205
2438,F,Ship,Returned,13465
2439,A,Ship,Pending,4169
2440,B,Road,Returned,16276
2441,C,Road,Returned,12641
2442,F,Road,Pending,11489
2443,D,Road,Returned,5774
2444,F,Road,Returned,15528
2445,A,Road,Delivered,5543
2446,B,Road,Delivered,12158
2447,C,Road,Returned,4232
2448,F,Road,Delivered,7913
2449,D,Road,Returned,12930
2450,F,Road,Delivered,14883
2451,A,Road,Returned,16434
2452,B,Road,Delivered,11888
2453,C,Road,Pending,8154
2454,F,Road,Pending,17771
2455,D,Road,Returned,1609
2456,F,Road,Pending,3453
2457,A,Road,Delivered,15287
2458,B,Road,In Transit,18621
2459,C,Road,Returned,15229
2460,F,Road,In Transit,13236
2461,D,Road,Pending,330
2462,F,Flight,Returned,12457
2463,A,Flight,Delivered,14097
2464,B,Flight,In Transit,6265
2465,C,Flight,Pending,902
2466,F,Flight,Pending,2603
2467,D,Flight,Returned,4599
2468,F,Flight,Returned,11649
2469,A,Flight,Delivered,171
2470,B,Flight,In Transit,13096
2471,C,Flight,Returned,594
2472,F,Flight,Pending,6174
2473,D,Flight,Delivered,7785
2474,F,Flight,In Transit,5037
2475,A,Flight,Delivered,1931
2476,B,Flight,Delivered,6424
2477,C,Flight,Pending,17548
2478,F,Flight,Returned,13610
2479,D,Flight,Pending,12161
2480,F,Flight,Returned,2015
2481,A,Flight,Pending,14111
2482,B,Flight,Returned,10598
2483,C,Flight,In Transit,9604
2484,F,Ship,In Transit,4589
2485,D,Ship,Delivered,13461
2486,F,Ship,Returned,5621
2487,A,Ship,Pending,11014
2488,B,Ship,Delivered,8700
2489,C,Ship,Pending,294
2490,F,Ship,Pending,2135
2491,D,Ship,In Transit,4785
2492,F,Ship,Pending,9880
2493,A,Ship,Pending,17434
2494,B,Ship,Returned,8797
2495,C,Ship,Returned,1635
2496,F,Ship,Delivered,18670
2497,D,Ship,In Transit,6616
2498,F,Ship,In Transit,9705
2499,A,Ship,In Transit,17116
2500,B,Ship,In Transit,17377
2501,C,Ship,Returned,2259
2502,F,Ship,Delivered,10849
2503,D,Ship,Returned,11482
2504,F,Ship,Delivered,4157
2505,A,Ship,Delivered,19241
2506,B,Ship,Returned,15964
2507,C,Ship,In Transit,929
2508,F,Ship,Pending,2138
2509,D,Ship,Pending,19586
2510,F,Ship,Pending,3905
2511,A,Ship,Returned,3155
2512,B,Ship,Returned,3298
2513,C,Ship,Returned,13250
2514,F,Ship,In Transit,7142
2515,D,Ship,Delivered,16265
2516,F,Ship,Returned,9490
2517,A,Ship,Delivered,4564
2518,B,Ship,Pending,10959
2519,C,Ship,Pending,6630
2520,F,Ship,Pending,11015
2521,D,Ship,Returned,12160
2522,F,Ship,Pending,2382
2523,A,Ship,Delivered,1832
2524,B,Ship,Delivered,621
2525,C,Ship,Pending,15118
2526,F,Ship,Delivered,1374
2527,D,Ship,Pending,17410
2528,F,Ship,Returned,11520
2529,A,Ship,In Transit,7514
2530,B,Ship,Delivered,9252
2531,C,Ship,In Transit,8985
2532,F,Ship,Returned,992
2533,D,Ship,Delivered,7962
2534,F,Ship,Pending,16671
2535,A,Ship,Returned,18445
2536,B,Ship,Returned,2593
2537,C,Ship,In Transit,5464
2538,F,Ship,Delivered,15603
2539,D,Ship,Delivered,17633
2540,F,Ship,Delivered,18912
2541,A,Ship,Returned,13540
2542,B,Ship,Pending,10619
2543,C,Ship,Delivered,2125
2544,F,Ship,Pending,4229
2545,D,Ship,Returned,1598
2546,F,Ship,Delivered,17732
2547,A,Ship,Pending,9581
2548,B,Ship,Returned,15522
2549,C,Ship,Delivered,18864
2550,F,Ship,In Transit,3925
2551,D,Ship,Returned,1886
2552,F,Ship,In Transit,14319
2553,A,Ship,Returned,12061
2554,B,Ship,Returned,19530
2555,C,Ship,Delivered,12316
2556,F,Ship,Delivered,16601
2557,D,Ship,Returned,14664
2558,F,Ship,Pending,14761
2559,A,Ship,Delivered,5469
2560,B,Ship,Delivered,14584
2561,C,Ship,Returned,19391
2562,F,Ship,Returned,11442
2563,D,Ship,Delivered,5649
2564,F,Ship,Returned,7504
2565,A,Ship,Returned,210
2566,B,Ship,Returned,7233
2567,C,Ship,Pending,18303
2568,F,Ship,Pending,8410
2569,D,Ship,Delivered,5134
2570,F,Ship,In Transit,502
2571,A,Ship,Pending,7342
2572,B,Ship,Delivered,12783
2573,C,Ship,Delivered,15689
2574,F,Ship,In Transit,14181
2575,D,Ship,In Transit,15336
2576,F,Ship,In Transit,10924
2577,A,Road,Pending,5896
2578,B,Road,Pending,4306
2579,C,Road,Pending,1861
2580,F,Road,Pending,3590
2581,D,Road,Returned,12224
2582,F,Road,Pending,9583
2583,A,Road,Delivered,3319
2584,B,Road,Delivered,3582
2585,C,Road,In Transit,8663
2586,F,Road,Delivered,5227
2587,D,Road,Returned,10265
2588,F,Road,Delivered,19205
2589,A,Road,In Transit,2892
2590,B,Road,Pending,11440
2591,C,Road,Returned,13739
2592,F,Road,In Transit,10064
2593,D,Road,In Transit,16801
2594,F,Road,Pending,19524
2595,A,Road,Pending,7267
2596,B,Road,Delivered,4262
2597,C,Road,In Transit,9230
2598,F,Road,Pending,2185
2599,D,Flight,Returned,13361
2600,F,Flight,In Transit,15574
2601,A,Flight,Delivered,1637
2602,B,Flight,Returned,11520
2603,C,Flight,In Transit,9490
2604,F,Flight,Pending,10031
2605,D,Flight,Pending,408
2606,F,Flight,In Transit,16156
2607,A,Flight,Returned,1042
2608,B,Flight,In Transit,4154
2609,C,Flight,Delivered,9820
2610,F,Flight,Pending,8057
2611,D,Flight,Returned,2133
2612,F,Flight,Returned,1298
2613,A,Flight,Pending,15426
2614,B,Flight,Delivered,641
2615,C,Flight,In Transit,18886
2616,F,Flight,In Transit,9390
2617,D,Flight,In Transit,17492
2618,F,Flight,Returned,5351
2619,A,Flight,In Transit,12601
2620,B,Flight,Pending,9870
2621,C,Ship,Returned,18030
2622,F,Ship,In Transit,16204
2623,D,Ship,Pending,10374
2624,F,Ship,Pending,5430
2625,A,Ship,Pending,6734
2626,B,Ship,In Transit,13731
2627,C,Ship,Pending,9516
2628,F,Ship,Delivered,1422
2629,D,Ship,Returned,14951
2630,F,Ship,Delivered,17563
2631,A,Ship,Delivered,16599
2632,B,Ship,Returned,18206
2633,C,Ship,Pending,1959
2634,F,Ship,Pending,17581
2635,D,Ship,Returned,2060
2636,F,Ship,In Transit,10928
2637,A,Ship,Returned,8676
2638,B,Ship,Pending,4880
2639,C,Ship,Returned,16215
2640,F,Ship,Returned,16999
2641,D,Ship,In Transit,19934
2642,F,Ship,In Transit,11723
2643,A,Ship,Pending,2311
2644,B,Ship,Returned,4952
2645,C,Ship,Delivered,19094
2646,F,Ship,Returned,14442
2647,D,Ship,In Transit,3676
2648,F,Ship,In Transit,655
2649,A,Ship,Returned,8707
2650,B,Ship,Pending,15518
2651,C,Ship,Delivered,5464
2652,F,Ship,In Transit,17275
2653,D,Ship,In Transit,5220
2654,F,Ship,Delivered,17756
2655,A,Ship,Pending,7985
2656,B,Ship,Delivered,18407
2657,C,Ship,Delivered,158
2658,F,Ship,Pending,13677
2659,D,Ship,In Transit,7163
2660,F,Ship,In Transit,5732
2661,A,Ship,Delivered,15683
2662,B,Ship,In Transit,5479
2663,C,Ship,Returned,15885
2664,F,Ship,Returned,1893
2665,D,Ship,In Transit,1461
2666,F,Ship,Returned,3895
2667,A,Ship,Pending,12295
2668,B,Ship,Delivered,6409
2669,C,Ship,Delivered,18180
2670,F,Ship,Returned,17387
2671,D,Ship,In Transit,8113
2672,F,Ship,In Transit,12218
2673,A,Ship,Returned,17355
2674,B,Ship,Returned,1687
2675,C,Ship,Delivered,11184
2676,F,Ship,In Transit,10027
2677,D,Ship,In Transit,10707
2678,F,Ship,Pending,12265
2679,A,Ship,Delivered,10148
2680,B,Ship,Pending,2988
2681,C,Ship,Delivered,5985
2682,F,Ship,Pending,16170
2683,D,Ship,Delivered,13048
2684,F,Ship,Pending,1243
2685,A,Ship,Returned,4347
2686,B,Ship,In Transit,14545
2687,C,Ship,Delivered,11311
2688,F,Ship,In Transit,10627
2689,D,Ship,Returned,17793
2690,F,Ship,Returned,17098
2691,A,Ship,Returned,844
2692,B,Ship,Pending,4610
2693,C,Ship,In Transit,18310
2694,F,Ship,Returned,4179
2695,D,Ship,Returned,11890
2696,F,Ship,Returned,5439
2697,A,Ship,Pending,15288
2698,B,Ship,Pending,9033
2699,C,Ship,Delivered,5659
2700,F,Ship,Delivered,13174
2701,D,Ship,Delivered,11760
2702,F,Ship,Returned,2318
2703,A,Ship,In Transit,12107
2704,B,Ship,Returned,15993
2705,C,Ship,Pending,6859
2706,F,Ship,In Transit,17285
2707,D,Ship,Pending,6583
2708,F,Ship,Returned,13266
2709,A,Ship,Returned,9504
2710,B,Ship,Pending,2167
2711,C,Ship,Delivered,2317
2712,F,Ship,Pending,2409
2713,D,Ship,In Transit,19393
2714,F,Road,Pending,10234
2715,A,Road,In Transit,19606
2716,B,Road,Returned,1224
2717,C,Road,Returned,15353
2718,F,Road,Returned,15882
2719,D,Road,Returned,18353
2720,F,Road,Pending,11042
2721,A,Road,Returned,7061
2722,B,Road,Returned,4543
2723,C,Road,Pending,13107
2724,F,Road,Delivered,12442
2725,D,Road,Delivered,3578
2726,F,Road,Returned,17092
2727,A,Road,In Transit,3714
2728,B,Road,Pending,14836
2729,C,Road,Pending,2492
2730,F,Road,Delivered,3774
2731,D,Road,Returned,14864
2732,F,Road,Returned,2295
2733,A,Road,In Transit,17050
2734,B,Road,Pending,11782
2735,C,Road,Delivered,9057
2736,F,Flight,Pending,18045
2737,D,Flight,Delivered,15855
2738,F,Flight,Delivered,14216
2739,A,Flight,Returned,15427
2740,B,Flight,Pending,3159
2741,C,Flight,Delivered,17630
2742,F,Flight,In Transit,8953
2743,D,Flight,In Transit,6181
2744,F,Flight,Delivered,8076
2745,A,Flight,Pending,12050
2746,B,Flight,In Transit,18726
2747,C,Flight,Returned,11261
2748,F,Flight,Returned,15206
2749,D,Flight,In Transit,10776
2750,F,Flight,Delivered,16114
2751,A,Flight,Pending,14519
2752,B,Flight,Delivered,7818
2753,C,Flight,In Transit,7022
2754,F,Flight,Pending,17616
2755,D,Flight,In Transit,10716
2756,F,Flight,In Transit,11303
2757,A,Flight,Returned,14016
2758,B,Ship,In Transit,18438
2759,C,Ship,Delivered,7120
2760,F,Ship,In Transit,5325
2761,D,Ship,In Transit,5810
2762,F,Ship,Returned,5497
2763,A,Ship,Delivered,4918
2764,B,Ship,In Transit,19893
2765,C,Ship,Pending,6263
2766,F,Ship,Pending,8945
2767,D,Ship,In Transit,15768
2768,F,Ship,Pending,16281
2769,A,Ship,Delivered,664
2770,B,Ship,Delivered,17576
2771,C,Ship,Pending,16920
2772,F,Ship,In Transit,7083
2773,D,Ship,In Transit,19536
2774,F,Ship,Returned,197
2775,A,Ship,Pending,18271
2776,B,Ship,Pending,14268
2777,C,Ship,Pending,11459
2778,F,Ship,Delivered,14658
2779,D,Ship,Returned,1373
2780,F,Ship,Pending,18826
2781,A,Ship,In Transit,13414
2782,B,Ship,In Transit,6014
2783,C,Ship,Delivered,12113
2784,F,Ship,Returned,11712
2785,D,Ship,Delivered,13834
2786,F,Ship,Returned,3873
2787,A,Ship,In Transit,4501
2788,B,Ship,Returned,8150
2789,C,Ship,Returned,1028
2790,F,Ship,Delivered,12709
2791,D,Ship,In Transit,17656
2792,F,Ship,Pending,8731
2793,A,Ship,Returned,13479
2794,B,Ship,Pending,11765
2795,C,Ship,In Transit,7829
2796,F,Ship,Pending,14906
2797,D,Ship,In Transit,1233
2798,F,Ship,Pending,8405
2799,A,Ship,In Transit,14095
2800,B,Ship,Delivered,8562
2801,C,Ship,Pending,8578
2802,F,Ship,Pending,6136
2803,D,Ship,In Transit,13569
2804,F,Ship,Pending,6666
2805,A,Ship,In Transit,1961
2806,B,Ship,Delivered,10061
2807,C,Ship,In Transit,4216
2808,F,Ship,Delivered,16461
2809,D,Ship,Returned,16284
2810,F,Ship,Returned,2888
2811,A,Ship,Returned,7944
2812,B,Ship,Returned,7623
2813,C,Ship,Returned,14788
2814,F,Ship,Returned,45
2815,D,Ship,Returned,4855
2816,F,Ship,Pending,3859
2817,A,Ship,In Transit,5072
2818,B,Ship,Delivered,14156
2819,C,Ship,Delivered,936
2820,F,Ship,Returned,2219
2821,D,Ship,Delivered,13226
2822,F,Ship,Returned,9306
2823,A,Ship,In Transit,8316
2824,B,Ship,In Transit,3392
2825,C,Ship,Pending,199
2826,F,Ship,Pending,16069
2827,D,Ship,In Transit,8223
2828,F,Ship,Delivered,7439
2829,A,Ship,Returned,14138
2830,B,Ship,In Transit,579
2831,C,Ship,Pending,11155
2832,F,Ship,Returned,1959
2833,D,Ship,Pending,9899
2834,F,Ship,Returned,1368
2835,A,Ship,Returned,18200
2836,B,Ship,Returned,9159
2837,C,Ship,Pending,12382
2838,F,Ship,Pending,19804
2839,D,Ship,In Transit,192
2840,F,Ship,In Transit,7299
2841,A,Ship,Returned,16145
2842,B,Ship,Delivered,12857
2843,C,Ship,In Transit,13045
2844,F,Ship,Pending,3088
2845,D,Ship,In Transit,10242
2846,F,Ship,Delivered,2753
2847,A,Ship,In Transit,19985
2848,B,Ship,In Transit,16092
2849,C,Ship,In Transit,2853
2850,F,Ship,Pending,14271
2851,D,Road,Returned,11361
2852,F,Road,Pending,1176
2853,A,Road,Returned,12605
2854,B,Road,In Transit,981
2855,C,Road,In Transit,18353
2856,F,Road,In Transit,1620
2857,D,Road,Pending,2686
2858,F,Road,Pending,1159
2859,A,Road,Returned,19564
2860,B,Road,Returned,13075
2861,C,Road,Pending,3260
2862,F,Road,Returned,1416
2863,D,Road,Returned,3686
2864,F,Road,Returned,13162
2865,A,Road,In Transit,5707
2866,B,Road,Delivered,18956
2867,C,Road,Pending,732
2868,F,Road,Delivered,7082
2869,D,Road,Pending,183
2870,F,Road,Returned,18037
2871,A,Road,Pending,19265
2872,B,Road,In Transit,9013
2873,C,Flight,Delivered,6677
2874,F,Flight,Pending,6850
2875,D,Flight,Pending,16822
2876,F,Flight,Delivered,8749
2877,A,Flight,In Transit,19436
2878,B,Flight,Pending,5529
2879,C,Flight,Pending,16868
2880,F,Flight,Delivered,13051
2881,D,Flight,In Transit,16434
2882,F,Flight,Delivered,810
2883,A,Flight,In Transit,10186
2884,B,Flight,Pending,19771
2885,C,Flight,Delivered,16727
2886,F,Flight,Pending,17414
2887,D,Flight,Pending,16306
2888,F,Flight,Returned,17840
2889,A,Flight,Delivered,2645
2890,B,Flight,In Transit,9274
2891,C,Flight,Returned,16965
2892,F,Flight,Returned,10780
2893,D,Flight,Pending,10558
2894,F,Flight,Returned,7570
2895,A,Ship,Pending,5324
2896,B,Ship,Returned,10051
2897,C,Ship,Delivered,7336
2898,F,Ship,Pending,7216
2899,D,Ship,Returned,9264
2900,F,Ship,Pending,1544
2901,A,Ship,Delivered,12415
2902,B,Ship,Returned,8541
2903,C,Ship,Returned,19481
2904,F,Ship,Pending,6652
2905,D,Ship,Delivered,7273
2906,F,Ship,Delivered,14816
2907,A,Ship,Delivered,9195
2908,B,Ship,Returned,10325
2909,C,Ship,In Transit,19036
2910,F,Ship,Returned,10694
2911,D,Ship,Returned,1311
2912,F,Ship,In Transit,838
2913,A,Ship,In Transit,9328
2914,B,Ship,In Transit,12427
2915,C,Ship,Delivered,15648
2916,F,Ship,In Transit,1477
2917,D,Ship,Returned,1959
2918,F,Ship,Delivered,4187
2919,A,Ship,In Transit,11815
2920,B,Ship,In Transit,474
2921,C,Ship,Pending,6382
2922,F,Ship,Delivered,19687
2923,D,Ship,Returned,7610
2924,F,Ship,Pending,364
2925,A,Ship,Returned,13010
2926,B,Ship,Delivered,16442
2927,C,Ship,Delivered,3054
2928,F,Ship,Returned,11012
2929,D,Ship,Pending,14309
2930,F,Ship,Delivered,13044
2931,A,Ship,Delivered,14917
2932,B,Ship,Pending,16239
2933,C,Ship,Delivered,3254
2934,F,Ship,Returned,9302
2935,D,Ship,Delivered,14902
2936,F,Ship,Returned,9744
2937,A,Ship,Delivered,955
2938,B,Ship,Returned,17773
2939,C,Ship,Delivered,4687
2940,F,Ship,Delivered,1762
2941,D,Ship,Pending,8785
2942,F,Ship,Returned,16925
2943,A,Ship,Returned,1802
2944,B,Ship,Delivered,13429
2945,C,Ship,In Transit,7033
2946,F,Ship,Delivered,5037
2947,D,Ship,Pending,16317
2948,F,Ship,Returned,15342
2949,A,Ship,Pending,18167
2950,B,Ship,Delivered,5287
2951,C,Ship,Pending,11830
2952,F,Ship,Delivered,3598
2953,D,Ship,Returned,240
2954,F,Ship,In Transit,14257
2955,A,Ship,Pending,4119
2956,B,Ship,In Transit,5312
2957,C,Ship,In Transit,10989
2958,F,Ship,Returned,14985
2959,D,Ship,Delivered,9078
2960,F,Ship,Pending,2162
2961,A,Ship,Delivered,4657
2962,B,Ship,Returned,9050
2963,C,Ship,Pending,18966
2964,F,Ship,Pending,12188
2965,D,Ship,Returned,10897
2966,F,Ship,Pending,10931
2967,A,Ship,In Transit,18857
2968,B,Ship,Returned,9140
2969,C,Ship,Returned,6779
2970,F,Ship,Pending,19641
2971,D,Ship,Pending,3488
2972,F,Ship,Pending,2979
2973,A,Ship,Pending,3874
2974,B,Ship,In Transit,15094
2975,C,Ship,Delivered,3860
2976,F,Ship,Pending,18773
2977,D,Ship,Delivered,18021
2978,F,Ship,Delivered,9463
2979,A,Ship,Delivered,12170
2980,B,Ship,Delivered,10861
2981,C,Ship,Delivered,14348
2982,F,Ship,In Transit,96
2983,D,Ship,Returned,9135
2984,F,Ship,In Transit,12226
2985,A,Ship,Delivered,14333
2986,B,Ship,Pending,485
2987,C,Ship,Pending,12775
2988,F,Road,Returned,19690
2989,D,Road,In Transit,14607
2990,F,Road,Delivered,12532
2991,A,Road,Delivered,15195
2992,B,Road,In Transit,7903
2993,C,Road,Returned,17510
2994,F,Road,Returned,7389
2995,D,Road,Pending,4852
2996,F,Road,In Transit,2077
2997,A,Road,Returned,16984
2998,B,Road,In Transit,2771
2999,C,Road,Delivered,2580
3000,F,Road,Returned,12866
3001,D,Road,In Transit,8758
3002,F,Road,In Transit,3753
3003,A,Road,Returned,15031
3004,B,Road,Delivered,19335
3005,C,Road,Pending,19035
3006,F,Road,Delivered,3421
3007,D,Road,In Transit,6767
3008,F,Road,In Transit,495
3009,A,Road,Delivered,16912
3010,B,Flight,In Transit,19227
3011,C,Flight,In Transit,1693
3012,F,Flight,Returned,11038
3013,D,Flight,Pending,3017
3014,F,Flight,Pending,11158
3015,A,Flight,Delivered,9063
3016,B,Flight,Delivered,19864
3017,C,Flight,Delivered,5418
3018,F,Flight,In Transit,17443
3019,D,Flight,Delivered,10299
3020,F,Flight,Pending,19054
3021,A,Flight,In Transit,11779
3022,B,Flight,In Transit,4250
3023,C,Flight,Delivered,4347
3024,F,Flight,Returned,5812
3025,D,Flight,Delivered,15493
3026,F,Flight,In Transit,8901
3027,A,Flight,Pending,18738
3028,B,Flight,In Transit,12487
3029,C,Flight,In Transit,1244
3030,F,Flight,Returned,18955
3031,D,Flight,Returned,19401
3032,F,Ship,Pending,5570
3033,A,Ship,Pending,8263
3034,B,Ship,Returned,656
3035,C,Ship,Pending,10368
3036,F,Ship,Delivered,16101
3037,D,Ship,In Transit,17745
3038,F,Ship,In Transit,7174
3039,A,Ship,Delivered,4853
3040,B,Ship,In Transit,7790
3041,C,Ship,Pending,18183
3042,F,Ship,Pending,10496
3043,D,Ship,Delivered,3359
3044,F,Ship,Returned,390
3045,A,Ship,Delivered,10947
3046,B,Ship,Delivered,434
3047,C,Ship,Returned,15744
3048,F,Ship,Returned,16327
3049,D,Ship,In Transit,18731
3050,F,Ship,In Transit,2737
3051,A,Ship,In Transit,15757
3052,B,Ship,In Transit,704
3053,C,Ship,Delivered,1310
3054,F,Ship,Returned,9020
3055,D,Ship,Returned,5376
3056,F,Ship,Delivered,12442
3057,A,Ship,In Transit,2231
3058,B,Ship,Delivered,15074
3059,C,Ship,In Transit,15090
3060,F,Ship,Delivered,15429
3061,D,Ship,Pending,9961
3062,F,Ship,Delivered,12654
3063,A,Ship,In Transit,19784
3064,B,Ship,Returned,3791
3065,C,Ship,In Transit,3003
3066,F,Ship,Pending,14894
3067,D,Ship,Returned,18647
3068,F,Ship,Pending,3455
3069,A,Ship,Pending,8012
3070,B,Ship,Delivered,10557
3071,C,Ship,Returned,18135
3072,F,Ship,Pending,15195
3073,D,Ship,Delivered,18466
3074,F,Ship,Pending,10600
3075,A,Ship,Pending,6621
3076,B,Ship,Pending,8000
3077,C,Ship,In Transit,12357
3078,F,Ship,Delivered,3258
3079,D,Ship,Delivered,5487
3080,F,Ship,Pending,19016
3081,A,Ship,Pending,14915
3082,B,Ship,Pending,6791
3083,C,Ship,In Transit,12437
3084,F,Ship,Pending,18700
3085,D,Ship,Pending,5582
3086,F,Ship,In Transit,13129
3087,A,Ship,Returned,18255
3088,B,Ship,Returned,12314
3089,C,Ship,Delivered,1871
3090,F,Ship,Pending,552
3091,D,Ship,Pending,13216
3092,F,Ship,Pending,4457
3093,A,Ship,Returned,238
3094,B,Ship,Delivered,16700
3095,C,Ship,Returned,10368
3096,F,Ship,Returned,19524
3097,D,Ship,Returned,18053
3098,F,Ship,Returned,9934
3099,A,Ship,Returned,1633
3100,B,Ship,Pending,5902
3101,C,Ship,Returned,6891
3102,F,Ship,In Transit,15349
3103,D,Ship,Delivered,12014
3104,F,Ship,Delivered,12830
3105,A,Ship,Pending,15935
3106,B,Ship,Returned,12142
3107,C,Ship,Delivered,17422
3108,F,Ship,In Transit,12549
3109,D,Ship,In Transit,19548
3110,F,Ship,Delivered,8643
3111,A,Ship,Pending,820
3112,B,Ship,In Transit,13151
3113,C,Ship,Delivered,8835
3114,F,Ship,Delivered,13037
3115,D,Ship,Returned,4994
3116,F,Ship,Returned,16804
3117,A,Ship,Returned,11098
3118,B,Ship,Pending,7106
3119,C,Ship,Delivered,4462
3120,F,Ship,In Transit,14740
3121,D,Ship,Delivered,1737
3122,F,Ship,Pending,18584
3123,A,Ship,In Transit,14055
3124,B,Ship,In Transit,8828
3125,C,Road,Delivered,2515
3126,F,Road,Returned,12566
3127,D,Road,Returned,16334
3128,F,Road,In Transit,132
3129,A,Road,Pending,19927
